description,category
"Our Open Source platform is used by the Fortune and US Government Agencies to collect, publish and reuse data, both public and proprietary.",Data/Technology
 is one of the best financial services company using unique factoring financial product which helps business to grow.,Finance & Investment
are artisans of mobile platforms.,Data/Technology
" a mission-driven, global leader in research and program implementation in the fields of health, social and environmental policy, and international development.",Research & Consulting
"improves citizen engagement by making it easier to do government business, driving civic innovation and improving transparency, accuracy and accountability.",Governance
"provides management consulting, technology and outsourcing services.",
provides local forecasts for everywhere in the United States and over two million locations worldwide.,Environment & Weather
"an enterprise data, analytics and software-as-a-service company, using data to connect people, businesses and their partners.",Data/Technology
"helps organizations leverage what they have by providing a knowledge management asset that facilitates reuse, analytics and compliance throughout the organization.",Business & Legal Services
"delivers solutions that help government agencies make, manage, mobilize, and measure the information and experiences needed to achieve their missions.",Data/Technology
"helps hospitals discharge their patients to the best available nursing homes, home health agencies, and other post-acute care providers.",Healthcare
" a technology provider of connected home services, powering well over one million residential and commercial installations.",Lifestyle & Consumer
"Life Insurance Company is a provider of retirement solutions, including fixed and variable annuities and life insurance for individuals.",Finance & Investment
"As part of Allied's moving services, the company offers customized solutions for  local, interstate and international moves.",Transportation
"the largest publicly held personal, property and casualty insurer in America.",Insurance
"an online search engine for students to find suitable loan providers.
",Education
"a software company specializing in tools to assist developers with data management, software and application development, and data integration.",Data/Technology
provides cloud computing services through Amazon Web Services to a range of clients.,Data/Technology
a long distance relocation moving company that serves families and businesses.,Transportation
"patient-centered solutions based on the Blue Button personal health record (PHR), the most popular PHR in the country.",Healthcare
"assists public sector organizations to identify, leverage, analyze and manage information.",Data/Technology
"a commercial and government consulting firm, offers clients and partners innovative solutions to heighten business performance.",Data/Technology
a leading technology for government and business to go mobile.,Data/Technology
"an Energy Intelligence Solution, combining software and next-generation metering technology to cost-effectively monitor and analyze real-time energy data across commercial real estate properties.",Energy
"creates models using evidence from clinical trials, epidemiological studies, and other sources to show healthcare decision makers how different options affect outcomes and costs.",Healthcare
 to provide you with everything you need to know about every city in the United States.,Data/Technology
"provides household goods moving and storage services for corporate, government, military, and residential customers.",Transportation
builds software solutions for urban transit challenges.,Transportation
"helps companies improve their productivity through technologies involving business process analyses, back office accounting systems, business applications, software integration, and analytical solutions.",Business & Legal Services
"provides objective, comparable and auditable extra-financial information.",Finance & Investment
a family of companies delivering transportation and related services globally through a network of quality agents and select service partners.,Transportation
building performance solutions help organizations maximize the strategic value and long-term performance of real estate assets,Research & Consulting
making it easy to find and apply for government and charitable social service programs.,Governance
provides databases and information tools for pharmaceutical and biotech companies.,Scientific Research
organizing the world's energy data by bringing cloud-computing to process and analyze data produced from an increasingly networked and automated grid.,Energy
combines technology with available statutory content to deliver fully automated sales tax compliance solutions.,Finance & Investment
a legal marketplace for consumers and attorneys.,Business & Legal Services
" an enterprise software platform that changes the way the organizations discover, extract and operationalize insights from complex data.",Data/Technology
a geospatial analysis (GIS) software development firm specializing in creating location-based web and mobile software as well as geospatial analysis services.,Geospatial/Mapping
"provides training, civic engagement and client success to NGOs and governments around the world.",Data/Technology
"a full-service provider of futures, equity and foreign exchange market data.",Data/Technology
"makes business applications completely model-driven, allowing organizations to instantly execute on new strategies and regulations.",Data/Technology
 offers private and corporate domestic and international household goods relocation services as well as special commodities and logistic services.,Transportation
"a simple, powerful information service that provides mergers and acquisitions data via a hosted, graphically enhanced and searchable database.",Finance & Investment
a multinational conglomerate holding company that oversees and manages a number of subsidiary companies.,Finance & Investment
"founded by a group of public schools teachers to connect educators and help them create, organize, and share their curricula.",Education
a personal finance security company harnessing the collective knowledge of millions of consumers to protect Americans from fraud and grey charges.,Finance & Investment
